"id","n","EIN","TYPE"
43,"4000",6.50226822991439,"IV"
44,"4000",7.73613662716841,"IV"
45,"4000",7.49796421712519,"IV"
46,"4000",7.06611003021025,"IV"
47,"4000",5.98087129113545,"IV"
48,"4000",8.73351905873634,"IV"
49,"4000",8.25425479333056,"IV"
50,"4000",8.69214024885838,"IV"
1,"500",-1.65655761691636,"Unadjusted"
2,"500",-1.62703727583352,"Unadjusted"
3,"500",-1.64053380027022,"Unadjusted"
4,"500",-1.78518462895723,"Unadjusted"
5,"500",-1.64541046098,"Unadjusted"
6,"500",-1.62657883182294,"Unadjusted"
7,"500",-1.96307535279583,"Unadjusted"
8,"500",-1.6627281624637,"Unadjusted"
9,"500",-1.73924288938834,"Unadjusted"
10,"500",-1.83247112193302,"Unadjusted"
11,"500",-1.77510873750707,"Unadjusted"
12,"500",-1.75363925499059,"Unadjusted"
13,"500",-2.05420257425955,"Unadjusted"
14,"500",-1.54987119141026,"Unadjusted"
15,"500",-1.68471447503438,"Unadjusted"
16,"500",-1.78151950871306,"Unadjusted"
17,"500",-1.55931119797213,"Unadjusted"
18,"500",-1.77999378944548,"Unadjusted"
19,"500",-1.64243349295544,"Unadjusted"
20,"500",-1.75881675562966,"Unadjusted"
21,"500",-1.62457057760409,"Unadjusted"
22,"500",-1.85741071511127,"Unadjusted"
23,"500",-1.5813968048306,"Unadjusted"
24,"500",-1.78751712663628,"Unadjusted"
25,"500",-1.69704800762692,"Unadjusted"
26,"500",-1.80373674640341,"Unadjusted"
27,"500",-1.55391181211543,"Unadjusted"
28,"500",-1.57716932117633,"Unadjusted"
29,"500",-1.62475328738114,"Unadjusted"
30,"500",-2.07927007768515,"Unadjusted"
31,"500",-1.81371948055942,"Unadjusted"
32,"500",-1.70499076893088,"Unadjusted"
33,"500",-1.75186977686914,"Unadjusted"
34,"500",-1.659870626403,"Unadjusted"
35,"500",-1.5934233018766,"Unadjusted"
36,"500",-2.26046831244017,"Unadjusted"
37,"500",-1.71684542682677,"Unadjusted"
38,"500",-1.68079167122985,"Unadjusted"
39,"500",-1.87336584843039,"Unadjusted"
40,"500",-1.93887224207654,"Unadjusted"
41,"500",-1.62351587887907,"Unadjusted"
42,"500",-2.12181228515714,"Unadjusted"
43,"500",-1.74797490291585,"Unadjusted"
44,"500",-1.83878236951929,"Unadjusted"
45,"500",-1.65041146229051,"Unadjusted"
46,"500",-1.76964674075694,"Unadjusted"
47,"500",-1.93276537605999,"Unadjusted"
48,"500",-1.87400089969759,"Unadjusted"
49,"500",-1.60438232544173,"Unadjusted"
50,"500",-1.69598691831496,"Unadjusted"
1,"1000",-1.74908669826224,"Unadjusted"
2,"1000",-1.75892072060373,"Unadjusted"
3,"1000",-1.62969466389037,"Unadjusted"
4,"1000",-1.80155951632376,"Unadjusted"
5,"1000",-1.86069307508351,"Unadjusted"
6,"1000",-1.74761662119684,"Unadjusted"
7,"1000",-1.78618020465172,"Unadjusted"
8,"1000",-1.63815824687412,"Unadjusted"
9,"1000",-1.80425422470942,"Unadjusted"
10,"1000",-1.85311453493069,"Unadjusted"
11,"1000",-1.61728571654994,"Unadjusted"
12,"1000",-1.66569376141296,"Unadjusted"
13,"1000",-1.83828172804159,"Unadjusted"
14,"1000",-1.67854277487225,"Unadjusted"
15,"1000",-1.78884472133732,"Unadjusted"
16,"1000",-1.83117891216905,"Unadjusted"
17,"1000",-1.75929514661385,"Unadjusted"
18,"1000",-1.60855226971484,"Unadjusted"
19,"1000",-1.75153584113455,"Unadjusted"
20,"1000",-1.92348229099841,"Unadjusted"
21,"1000",-1.79687412143052,"Unadjusted"
22,"1000",-1.76420537209335,"Unadjusted"
23,"1000",-1.71942970376992,"Unadjusted"
24,"1000",-1.67367493562561,"Unadjusted"
25,"1000",-1.88986448870881,"Unadjusted"
26,"1000",-1.97549406647678,"Unadjusted"
27,"1000",-1.79754946912689,"Unadjusted"
28,"1000",-1.82997825068347,"Unadjusted"
29,"1000",-1.74263580397484,"Unadjusted"
30,"1000",-1.74485954476761,"Unadjusted"
31,"1000",-1.61721468904101,"Unadjusted"
32,"1000",-1.70706527942244,"Unadjusted"
33,"1000",-1.5736482893399,"Unadjusted"
34,"1000",-1.96299095847794,"Unadjusted"
35,"1000",-1.73736570955016,"Unadjusted"
36,"1000",-1.54237908947402,"Unadjusted"
37,"1000",-1.5885220831586,"Unadjusted"
38,"1000",-1.6375117302927,"Unadjusted"
39,"1000",-1.70668026343674,"Unadjusted"
40,"1000",-1.63585322478471,"Unadjusted"
41,"1000",-1.77363166851293,"Unadjusted"
42,"1000",-1.73745354040809,"Unadjusted"
43,"1000",-1.7367358511671,"Unadjusted"
44,"1000",-1.64137378652358,"Unadjusted"
45,"1000",-1.57648571571721,"Unadjusted"
46,"1000",-1.95149272998621,"Unadjusted"
47,"1000",-1.76954123329444,"Unadjusted"
48,"1000",-1.87449969125648,"Unadjusted"
49,"1000",-1.69811763556517,"Unadjusted"
50,"1000",-1.89263037134296,"Unadjusted"
1,"2000",-1.71061856422625,"Unadjusted"
2,"2000",-1.6788536728096,"Unadjusted"
3,"2000",-1.69602702185474,"Unadjusted"
4,"2000",-1.71949389444262,"Unadjusted"
5,"2000",-1.83037557839686,"Unadjusted"
6,"2000",-1.70347279137105,"Unadjusted"
7,"2000",-1.78548244949842,"Unadjusted"
8,"2000",-1.65205219508294,"Unadjusted"
9,"2000",-1.84565142892305,"Unadjusted"
10,"2000",-1.76522102713304,"Unadjusted"
11,"2000",-1.76502439309463,"Unadjusted"
12,"2000",-1.72584016615599,"Unadjusted"
13,"2000",-1.75327109341785,"Unadjusted"
14,"2000",-1.85327845589653,"Unadjusted"
15,"2000",-1.71057944685143,"Unadjusted"
16,"2000",-1.82142523943799,"Unadjusted"
17,"2000",-1.6957280733185,"Unadjusted"
18,"2000",-1.7667560691444,"Unadjusted"
19,"2000",-1.8099013701497,"Unadjusted"
20,"2000",-1.7495140257029,"Unadjusted"
21,"2000",-1.73044167504157,"Unadjusted"
22,"2000",-1.72600472990996,"Unadjusted"
23,"2000",-1.75084967450144,"Unadjusted"
24,"2000",-1.65767227867042,"Unadjusted"
25,"2000",-1.70687766932721,"Unadjusted"
26,"2000",-1.86993866809914,"Unadjusted"
27,"2000",-1.72109667621513,"Unadjusted"
28,"2000",-1.71029531226303,"Unadjusted"
29,"2000",-1.83530579718906,"Unadjusted"
30,"2000",-1.68916445171398,"Unadjusted"
31,"2000",-1.70136925151716,"Unadjusted"
32,"2000",-1.68854595991718,"Unadjusted"
33,"2000",-1.77276904435003,"Unadjusted"
34,"2000",-1.82169319229105,"Unadjusted"
35,"2000",-1.67273646591779,"Unadjusted"
36,"2000",-1.79705643302098,"Unadjusted"
37,"2000",-1.85313099349472,"Unadjusted"
38,"2000",-1.78830205012936,"Unadjusted"
39,"2000",-1.71566466449429,"Unadjusted"
40,"2000",-1.60184698490912,"Unadjusted"
41,"2000",-1.67504804620225,"Unadjusted"
42,"2000",-1.85799401839781,"Unadjusted"
43,"2000",-1.79743624684686,"Unadjusted"
44,"2000",-1.79090420417637,"Unadjusted"
45,"2000",-1.74099117800781,"Unadjusted"
46,"2000",-1.72754948417029,"Unadjusted"
47,"2000",-1.81590239223219,"Unadjusted"
48,"2000",-1.72521232620851,"Unadjusted"
49,"2000",-1.61543811731542,"Unadjusted"
50,"2000",-1.84958536218404,"Unadjusted"
1,"4000",-1.81158197763328,"Unadjusted"
2,"4000",-1.64455318188104,"Unadjusted"
3,"4000",-1.71039003232579,"Unadjusted"
4,"4000",-1.84383441291569,"Unadjusted"
5,"4000",-1.71254320790711,"Unadjusted"
6,"4000",-1.72877978404459,"Unadjusted"
7,"4000",-1.73929732282215,"Unadjusted"
8,"4000",-1.84700113160635,"Unadjusted"
9,"4000",-1.74412505541501,"Unadjusted"
10,"4000",-1.7108914918821,"Unadjusted"
11,"4000",-1.70115352084457,"Unadjusted"
12,"4000",-1.75486275669339,"Unadjusted"
13,"4000",-1.75987704466123,"Unadjusted"
14,"4000",-1.6662859215176,"Unadjusted"
15,"4000",-1.69364629812666,"Unadjusted"
16,"4000",-1.74242401132225,"Unadjusted"
17,"4000",-1.84539834577126,"Unadjusted"
18,"4000",-1.66895790908135,"Unadjusted"
19,"4000",-1.73482402169522,"Unadjusted"
20,"4000",-1.79551446971993,"Unadjusted"
21,"4000",-1.82754530409924,"Unadjusted"
22,"4000",-1.72354414796962,"Unadjusted"
23,"4000",-1.6640132275473,"Unadjusted"
24,"4000",-1.73615171350375,"Unadjusted"
25,"4000",-1.80058495418696,"Unadjusted"
26,"4000",-1.70460135884405,"Unadjusted"
27,"4000",-1.66145063717109,"Unadjusted"
28,"4000",-1.76911979373216,"Unadjusted"
29,"4000",-1.75030153125304,"Unadjusted"
30,"4000",-1.6834447379639,"Unadjusted"
31,"4000",-1.74020063330427,"Unadjusted"
32,"4000",-1.72905457503232,"Unadjusted"
33,"4000",-1.7360062021698,"Unadjusted"
34,"4000",-1.69258359711602,"Unadjusted"
35,"4000",-1.74251871585376,"Unadjusted"
36,"4000",-1.64896395426516,"Unadjusted"
37,"4000",-1.75948196100221,"Unadjusted"
38,"4000",-1.67786927669334,"Unadjusted"
39,"4000",-1.69748586269886,"Unadjusted"
40,"4000",-1.80464851643446,"Unadjusted"
41,"4000",-1.79110003175545,"Unadjusted"
42,"4000",-1.86892257118023,"Unadjusted"
43,"4000",-1.76974327447984,"Unadjusted"
44,"4000",-1.66961494631181,"Unadjusted"
45,"4000",-1.80506658386224,"Unadjusted"
46,"4000",-1.68746937270504,"Unadjusted"
47,"4000",-1.77358580500129,"Unadjusted"
48,"4000",-1.69484157915904,"Unadjusted"
49,"4000",-1.71121835252124,"Unadjusted"
50,"4000",-1.70352314305456,"Unadjusted"
